category             |quantidade|
---------------------+----------+
ultimas-noticias     |    326759|
economia             |     60537|
politica             |     47556|
internacional        |     25447|
saude                |     23149|
nacional             |     17327|
pop-arte             |     15653|
mundo                |     15083|
sp                   |      7787|
cotidiano            |      7770|
esportes             |      6083|
bemestar             |      5659|
tecnologia           |      5434|
educacao             |      5164|
entretenimento       |      5026|
ciencia-e-saude      |      3854|
natureza             |      3281|
live-post            |      2080|
ciencia              |      2026|
pe                   |      1958|
meio-ambiente        |      1917|
pb                   |      1371|
carnaval             |      1328|
mg                   |      1282|
tabloide             |      1230|
rj                   |      1020|
turismo-e-viagem     |       893|
empreendedorismo     |       727|
trabalho-e-carreira  |       716|
ro                   |       715|
df                   |       699|
estilo               |       571|
ba                   |       482|
podcast              |       481|
mt                   |       410|
es                   |       401|
opiniao              |       390|
pr                   |       384|
pi                   |       362|
rs                   |       346|
al                   |       340|
ce                   |       332|
ap                   |       327|
sc                   |       296|
confere              |       255|
noticias             |       250|
ac                   |       248|
forum-opiniao        |       244|
se                   |       239|
am                   |       236|
inovacao             |       215|
pa                   |       209|
blogs-e-colunas      |       198|
go                   |       178|
sao-paulo            |       176|
olha-que-legal       |       162|
pernambuco           |       148|
rn                   |       137|
comprova             |       118|
especiais            |       111|
ma                   |       108|
mato-grosso          |       104|
distrito-federal     |       102|
rio-de-janeiro       |        98|
branded-content      |        96|
ms                   |        90|
rr                   |        85|
to                   |        79|
enquetes             |        73|
fantastico           |        72|
goias                |        51|
musica               |        50|
espirito-santo       |        44|
minas-gerais         |        43|
concursos-e-emprego  |        40|
fato-ou-fake         |        40|
bahia                |        30|
jornal-nacional      |        29|
mato-grosso-do-sul   |        27|
ceara                |        23|
jornal-hoje          |        21|
fique-em-casa        |        20|
quiz                 |        17|
retrospectiva        |        16|
especial-publicitario|        15|
calendario           |        13|
mobilidade           |        10|
loterias             |         9|
g1-explica           |         9|
jornal-da-globo      |         8|
e-ou-nao-e           |         8|
segue-o-fio          |         6|
agora-e-assim        |         6|
que-meme-e-esse      |         6|
dia-das-mulheres     |         5|
globo-reporter       |         5|
bom-dia-brasil       |         4|
profissao-reporter   |         3|
rock-in-rio          |         2|
economia-e-negocios  |         2|
globonews            |         2|
correcoes            |         2|
noticia              |         2|
album                |         2|
brasil               |         2|
g1-15-anos           |         2|
fotos                |         1|
consciencia-negra    |         1|
urbanismo            |         1|
retrospectiva-g1     |         1|
tudo-sobre           |         1|